"Código","Unidade Territorial","UF","Referência","Número de famílias beneficiárias do Programa Bolsa Família (até outubro/2021)","Número de famílias beneficiárias do Programa Bolsa Família (a partir de março/2023)","Valor total repassado às famílias beneficiárias do Programa Bolsa Família (até outubro/2021)","Valor total repassado às famílias beneficiárias do Programa Bolsa Família (a partir de março/2023)","Valor médio do benefício do Programa Bolsa Família (até outubro/2021)","Valor médio do benefício do Programa Bolsa Família (a partir de março/2023)"
"250010","ÁGUA BRANCA","PB","03/2020","1482","","390617","","263,57",""
"250010","ÁGUA BRANCA","PB","10/2007","1428","","119939","","83,99",""
"250010","ÁGUA BRANCA","PB","05/2016","1758","","417675","","237,59",""
"250010","ÁGUA BRANCA","PB","02/2020","1513","","398833","","263,60",""
"250010","ÁGUA BRANCA","PB","01/2020","1513","","396334,00","","261,95",""
"250010","ÁGUA BRANCA","PB","12/2016","1669","","441085","","264,28",""
"250010","ÁGUA BRANCA","PB","06/2016","1750","","413880","","236,50",""
"250010","ÁGUA BRANCA","PB","02/2005","1048","","80457","","76,77",""
"250010","ÁGUA BRANCA","PB","04/2005","1050","","80572","","76,74",""
"250010","ÁGUA BRANCA","PB","05/2005","1061","","80852","","76,20",""
"250010","ÁGUA BRANCA","PB","07/2016","1744","","456543,00","","261,78",""
"250010","ÁGUA BRANCA","PB","03/2007","1499","","106607","","71,12",""
"250010","ÁGUA BRANCA","PB","04/2026","","1820","","1231880","","676,86"
"250010","ÁGUA BRANCA","PB","12/2005","1244","","92804","","74,60",""
"250010","ÁGUA BRANCA","PB","12/2020","1556","","60701","","39,01",""
"250010","ÁGUA BRANCA","PB","11/2020","1556","","57396","","36,89",""
"250010","ÁGUA BRANCA","PB","10/2016","1754","","460043","","262,28",""
"250010","ÁGUA BRANCA","PB","11/2007","1434","","120679","","84,16",""
"250010","ÁGUA BRANCA","PB","09/2016","1757","","458581","","261,00",""
"250010","ÁGUA BRANCA","PB","01/2016","1759","","410669","","233,47",""
"250010","ÁGUA BRANCA","PB","07/2005","1110","","83817","","75,51",""
"250010","ÁGUA BRANCA","PB","01/2005","1048","","80457","","76,77",""
